,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette,Sampa,ipa
8182,2,ſelĕʹct,L.,,,a.,14.0,193,select,s @ l E k t,səlɛkt
8183,1,ſelf,,,,n.,15.0,193,self,s E l f,sɛlf
8184,2,ſeʹlfiſh,,,,a.,16.0,193,selfish,s E l f i S,sɛlfiʃ
8185,1,ſell,L.,,,n.,17.0,193,sell,s E l,sɛl
8186,2,ſeʹlvage,,,,n.,19.0,193,selvage,s E l v i dZ,sɛlvi?
8187,2,sĕʹmblănce,F.,,,n.,20.0,193,semblance,s E m b l @ n s,sɛmbləns
8188,2,sēʹmĕn,L.,,,n.,21.0,193,semen,s i: m @ n,siːmən
8189,5,ſemĭcĭʹrcŭlar,,,,a.,25.0,193,semicircular,s E m i: s 3:r k j @ l 3:r,sɛmiːsɜ:rkjəlɜ:r
8190,3,sĕʹmĭnal,,,,a.,28.0,193,seminal,s E m @ n @ l,sɛmənəl
8191,4,sĕʹmĭnăry,L.,,,n.,29.0,193,seminary,s E m @ n E r\ i:,sɛmənɛɹiː
8192,2,sēʹnā,L.,,,n.,33.0,193,sena,s E n @,sɛnə
8193,2,sĕʹnate,L.,,,n.,34.0,193,senate,s E n @ t,sɛnət
8194,3,sĕʹnător,,,,n.,35.0,193,senator,s E n @ 4 3:r,sɛnəɾɜ:r
8195,1,sĕnd,,,,v.,36.0,193,send,s E n d,sɛnd
8196,3,sĕʹnĭor,,,,n.,40.0,193,senior,s i: n j 3:r,siːnjɜ:r
8197,5,sĕnĭoʹrĭty,,,,n.,41.0,193,seniority,s i: n j O: r\ i 4 i:,siːnjOːɹiɾiː
8198,4,sĕnsāʹtion,,,,n.,42.0,193,sensation,s E n s eI S @ n,sɛns?ʃən
8199,1,sĕnſe,,,,n.,43.0,193,sense,s E n s,sɛns
8200,2,sĕʹnſ_e_leſs,,,,a.,44.0,193,senseless,s E n s l @ s,sɛnsləs
8201,2,sĕʹnſes,,,,n.,45.0,193,senses,s E n s i z,sɛnsiz
8202,5,ſensĭbĭʹlĭty,,,,n.,46.0,193,sensibility,s E n s i b I l i 4 i:,sɛnsibɪliɾiː
8203,3,sĕʹnsĭble,,,,a.,47.0,193,sensible,s E n s @ b @ l,sɛnsəbəl
8204,3,sĕʹnsĭtive,,,,a.,48.0,193,sensitive,s E n s @ 4 i v,sɛnsəɾiv
8205,3,sĕʹnsŏry,,,,n.,49.0,193,sensory,s E n s 3:r i:,sɛnsɜ:riː
8206,3,sĕʹnsūal,,,,a.,50.0,193,sensual,s E n tS @ w @ l,sɛn?əwəl
8207,5,sĕnsūaʹlĭty,L.,,,n.,51.0,193,sensuality,s E n tS @ w { l @ 4 i:,sɛn?əwæləɾiː
8208,2,sĕʹntĕnce,,,,v.,53.0,193,sentence,s E n t @ n s,sɛntəns
8209,3,sĕʹntĭment,F.,,,n.,55.0,193,sentiment,s E n t @ m @ n t,sɛntəmənt
8210,3,sĕʹntĭnel,,,,n.,56.0,193,sentinel,s E n t @ n @ l,sɛntənəl
8211,4,sĕʹpărable,,,,a.,58.0,193,separable,s E p 3:r @ b @ l,sɛpɜ:rəbəl
8212,3,sĕʹpărāte,,,,v.,59.0,193,separate,s E p 3:r eI t,sɛpɜ:r?t
8213,5,sĕpărāʹtion,,,,n.,60.0,193,separation,s E p 3:r eI S @ n,sɛpɜ:r?ʃən
8214,3,sĕptĕʹmb_e_r,L.,,,n.,63.0,193,september,s E p t E m b 3:r,sɛptɛmbɜ:r
8215,2,sēʹquel,L.,,,n.,71.0,193,sequel,s i: k w @ l,siːkwəl
8216,2,sĕʹquĕnce,,,,n.,72.0,193,sequence,s i: k w @ n s,siːkwəns
8217,3,ſequĕʹſt_e_r,L.,,,v.,73.0,193,sequester,s i k w E s t 3:r,sikwɛstɜ:r
8218,1,ſhorn,,,,a.,2.0,194,shorn,S O: r\ n,ʃOːɹn
8219,1,ſhŏrt,,,,a.,3.0,194,short,S O: r\ t,ʃOːɹt
8220,2,ſhŏʹrt_e_n,,,,v.,4.0,194,shorten,S O: r\ t @ n,ʃOːɹtən
8221,1,ſhōve,,,,v.,5.0,194,shove,S V v,ʃʌv
8222,2,ſhŏʹv_e_l,,,,n.,6.0,194,shovel,S V v @ l,ʃʌvəl
8223,2,ſhȯʹẇer,,,,v.,11.0,194,shower,S aU 3:r,ʃ?ɜ:r
8224,2,ſhoʹ_w_y,,,,a.,13.0,194,showy,S @U i:,ʃoʊiː
8225,1,ſhrewd,,,,a.,16.0,194,shrewd,S r\ u d,ʃɹud
8226,1,ſhriek,,,,n.,17.0,194,shriek,S r\ i: k,ʃɹiːk
8227,1,ſhrĭll,,,,a.,18.0,194,shrill,S r\ I l,ʃɹɪl
8228,1,ſhrĭmp,,,,n.,19.0,194,shrimp,S r\ I m p,ʃɹɪmp
8229,1,ſhrīne,,,,n.,20.0,194,shrine,S r\ aI n,ʃɹ?n
8230,1,ſhrĭnk,,,,v.,21.0,194,shrink,S r\ I N k,ʃɹɪŋk
8231,3,ſhrĭʹvĕled,,,,a.,23.0,194,shriveled,S r\ I v @ l d,ʃɹɪvəld
8232,1,ſhrŭbs,,,,n.,28.0,194,shrubs,S r\ V b z,ʃɹʌbz
8233,1,ſhrŭg,,,,v.,29.0,194,shrug,S r\ V g,ʃɹʌg
8234,1,ſhrŭnk,,,,a.,30.0,194,shrunk,S r\ V N k,ʃɹʌŋk
8235,2,ſhŭʹdd_e_r,,,,v.,31.0,194,shudder,S V 4 3:r,ʃʌɾɜ:r
8236,2,ſhŭʹffle,,,,v.,32.0,194,shuffle,S V f @ l,ʃʌfəl
8237,1,ſhŭn,,,,v.,33.0,194,shun,S V n,ʃʌn
8238,1,ſhŭt,,,,v.,34.0,194,shut,S V t,ʃʌt
8239,2,ſhŭʹtters,,,,n.,35.0,194,shutters,S V 4 3:r z,ʃʌɾɜ:rz
8240,2,ſhŭʹttle,,,,n.,36.0,194,shuttle,S V 4 @ l,ʃʌɾəl
8241,1,ſhy,,,,a.,37.0,194,shy,S aI,ʃ?
8242,1,sĭck,,,,a.,41.0,194,sick,s I k,sɪk
8243,1,sĭʹck_e_n,,,,v.,42.0,194,sicken,s I k @ n,sɪkən
8244,2,sĭʹckle,,,,n.,43.0,194,sickle,s I k @ l,sɪkəl
8245,2,sĭʹckly,,,,a.,44.0,194,sickly,s I k l i:,sɪkliː
8246,2,sĭʹckneſs,,,,n.,45.0,194,sickness,s I k n @ s,sɪknəs
8247,1,sīde,,,,n.,46.0,194,side,s aI d,s?d
8248,2,sīʹder,,,,n.,49.0,194,sider,s aI 4 3:r,s?ɾɜ:r
8249,2,sīʹd_e_ways,,,,p.,53.0,194,sideways,s aI d w eI z,s?dw?z
8250,1,ſiege,,,,n.,54.0,194,siege,s i: dZ,siː?
8251,1,ſieve,,,,n.,55.0,194,sieve,s I v,sɪv
8252,1,sĭft,,,,v.,56.0,194,sift,s I f t,sɪft
8253,1,sī_gh_,,,,v.,57.0,194,sigh,s aI,s?
8254,1,sī_gh_t,,,pas de {POS} indiquée dans le dictionnaire.,,58.0,194,sight,s aI t,s?t
8255,1,sīgn,,,,n.,62.0,194,sign,s aI n,s?n
8256,2,sĭʹgnal,,,,a.,63.0,194,signal,s I g n @ l,sɪgnəl
8257,3,sĭgnāʹtūre,L.,,,n.,65.0,194,signature,s I g n @ tS 3:r,sɪgnə?ɜ:r
8258,2,sĭʹgnet,,,,n.,66.0,194,signet,s I g n i t,sɪgnit
8259,4,sĭgnĭʹfĭcănce,,,,n.,67.0,194,significance,s @ g n I f i k @ n s,səgnɪfikəns
8260,4,sĭgnĭʹfĭcant,L.,,,a.,68.0,194,significant,s @ g n I f i k @ n t,səgnɪfikənt
8261,3,sĭʹgnĭfy,,,,v.,70.0,194,signify,s I g n @ f aI,sɪgnəf?
8262,2,sīʹlĕnce,,,,v.,71.0,194,silence,s aI l @ n s,s?ləns
8263,2,sīʹlent,,,,a.,72.0,194,silent,s aI l @ n t,s?lənt
8264,1,sĭlk,,,,n.,2.0,195,silk,s I l k,sɪlk
8265,2,sĭʹlk_e_n,,,,a.,3.0,195,silken,s I l k @ n,sɪlkən
8266,1,sĭll,,,,n.,4.0,195,sill,s I l,sɪl
8267,2,sĭʹlly,,,,a.,7.0,195,silly,s I l i:,sɪliː
8268,2,sĭʹlver,,,,n.,8.0,195,silver,s I l v 3:r,sɪlvɜ:r
8269,3,sĭʹlvĕred,,,,a.,9.0,195,silvered,s I l v 3:r d,sɪlvɜ:rd
8270,3,sĭʹmĭlar,L.,,,a.,10.0,195,similar,s I m @ l 3:r,sɪməlɜ:r
8271,5,sĭmĭlaʹrĭty,,,,n.,11.0,195,similarity,s I m @ l E r\ @ 4 i:,sɪməlɛɹəɾiː
8272,4,sĭmĭʹlĭtūde,L.,,,n.,13.0,195,similitude,s i m I l @ t u d,simɪlətud
8273,3,sīʹmŏny,,,,n.,17.0,195,simony,s aI m @ n i:,s?məniː
8274,2,sĭʹmp_e_r,,,,v.,18.0,195,simper,s I m p 3:r,sɪmpɜ:r
8275,2,sĭʹmple,,,,a.,19.0,195,simple,s I m p @ l,sɪmpəl
8276,2,sĭʹmpler,,,,n.,20.0,195,simpler,s I m p @ l 3:r,sɪmpəlɜ:r
8277,4,sĭmplĭʹcĭty,,,,n.,23.0,195,simplicity,s i m p l I s @ 4 i:,simplɪsəɾiː
8278,2,sĭʹmply,,,,p.,25.0,195,simply,s I m p l i:,sɪmpliː
8279,1,sĭn,,,,v.,26.0,195,sin,s I n,sɪn
8280,1,sĭnce,,,,p.,27.0,195,since,s I n s,sɪns
8281,2,sĭncēʹre,,,,a.,28.0,195,sincere,s i n s I r\,sinsɪɹ
8282,3,sĭncēʹr_e_ly,L.,,,p.,29.0,195,sincerely,s i n s I r\ l i:,sinsɪɹliː
8283,4,sĭncĕʹrĭty,,,,n.,30.0,195,sincerity,s i n s E r\ @ 4 i:,sinsɛɹəɾiː
8284,1,sīne,,,,n.,31.0,195,sine,s aI n,s?n
8285,3,sĭʹnewy,,,,n.,34.0,195,sinewy,s I n j u i:,sɪnjuiː
